################################# THIS IS THE START POINT
The National Football league has 32 teams. We are going to calculate the Elo ratings for each team using their win and loss record. The 32 teams are: 
Cardinals
Falcons
Ravens
Bills
Panthers
Bears
Bengals
Browns
Cowboys
Broncos
Lions
Packers
Texans
Colts
Jaguars
Chiefs
Raiders
Chargers
Rams
Dolphins
Vikings
Patriots
Saints
Giants
Jets
Eagles
Steelers
49ers
Seahawks
Buccaneers
Titans
Commanders.
At the start of the season, each team has an Elo rating of 1500. K factor equals 20
List each team and their current Elo rating.
################################# END START POINT
################################# START REGULAR SEASON
When processing game results the second team listed will have a Home Field Advantage of 65 Elo points temporarily added to their Elo Rating. The 65 Elo points disappear after the calculations are completed. Some games will have no home field advantage. These games will be marked NHF and neither team will receive 65 Elo points added to their rating.
Here are the game results:
Ravens vs. Chiefs 0-1
Packers vs. Eagles 0-1
Steelers vs. Falcons 1-0
Cardinals vs. Bills 0-1
Titans vs. Bears 0-1
Patriots vs. Bengals 1-0
Texans vs. Colts 1-0
Jaguars vs. Dolphins 0-1
Panthers vs. Saints 0-1
Vikings vs. Giants 1-0
NHF Raiders vs. Chargers 0-1
Broncos vs. Seahawks 0-1
Cowboys vs. Browns 1-0
Commanders vs. Buccaneers 0-1
Rams vs. Lions 0-1
Jets vs. 49ers 0-1
Bills vs. Dolphins 1-0
Saints vs. Cowboys 1-0
Buccaneers vs. Lions 1-0
Colts vs. Packers 0-1
Jets vs. Titans 1-0
49ers vs.Vikings 0-1
Seahawks vs. Patriots 1-0
Giants vs. Commanders 0-1
Chargers vs. Panthers 1-0
Browns vs. Jaguars 1-0
Raiders vs Ravens 1-0
Rams vs. Cardinals 0-1
Steelers vs. Broncos 1-0
Bengals vs. Chiefs 0-1
Bears vs. Texans 0-1
Falcons vs. Eagles 1-0
Patriots vs. Jets 0-1
Giants vs. Browns 1-0
Packers vs. Titans 1-0
Bears vs. Colts 0-1
Texans vs. Vikings 0-1
Eagles vs. Saints 1-0
Chargers vs. Steelers 0-1
Broncos vs. Buccaneers 1-0
Panthers vs. Raiders 1-0
Dolphins vs. Seahawks 0-1
Ravens vs. Cowboys 1-0
49ers vs Rams 0-1
Lions vs. Cardinals 1-0
Chiefs vs. Falcons 1-0
Jaguars vs. Bills 0-1
Commanders vs. Bengals 1-0
Cowboys vs. Giants 1-0
Saints vs. Falcons 0-1
Rams vs.Bears 0-1
Vikings vs. Packers 1-0
Steelers vs. Colts 0-1
Broncos vs. Jets 1-0
Eagles vs. Buccaneers 0-1
Bengals vs. Panthers 1-0
Jaguars vs. Texans 0-1
Commanders vs. Cardinals 1-0
Patriots vs. 49ers 0-1
Browns vs. Raiders 0-1
Chiefs vs. Chargers 1-0
Bills vs. Ravens 0-1
Titans vs. Dolphins 1-0
Seahawks vs. Lions 0-1
Buccaneers vs. Falcons 0-1
Jets vs. Vikings 0-1
Panthers vs. Bears 0-1
Ravens vs. Bengals 1-0
Dolphins vs. Patriots 1-0
Browns vs. Commanders 0-1
Colts vs. Jaguars 0-1
Bills vs. Texans 0-1
Raiders vs. Broncos 0-1
Cardinals vs. 49ers 1-0
Packers vs. Rams 1-0
Giants vs. Seahawks 1-0
Cowboys vs. Steelers 1-0
Saints vs. Chiefs 0-1
49ers vs. Seahawks 1-0
Jaguars vs. Bears 0-1
Cardinals vs. Packers 0-1
Colts vs. Titans 1-0
Texans vs. Patriots 1-0
Buccaneers vs. Saints 1-0
Browns vs. Eagles 0-1
NHF Commanders vs. Ravens 0-1
Chargers vs. Broncos 1-0
Steelers vs. Raiders 1-0
Lions vs. Cowboys 1-0
