Team,Elo Rating,Wins,Losses
49ers,1455.4348803965256,6,11
Bears,1444.2093827799265,5,12
Bengals,1518.1953810496855,9,8
Bills,1570.133121058948,13,4
Broncos,1529.8933763639236,10,7
Browns,1415.989823186208,3,14
Buccaneers,1520.837259795186,10,7
Cardinals,1488.2404001232926,8,9
Chargers,1542.8755472365463,11,6
Chiefs,1603.2818461296931,15,2
Colts,1491.193710616067,8,9
Commanders,1554.6115296369007,12,5
Cowboys,1475.3660979366805,7,10
Dolphins,1491.8748998208948,8,9
Eagles,1586.8063975013852,14,3
Falcons,1483.144338512887,8,9
Giants,1408.8495431181632,3,14
Jaguars,1426.9083420032418,4,13
Jets,1446.627859693914,5,12
Lions,1608.147660114118,15,2
Packers,1538.332900376423,11,6
Panthers,1446.7944537301748,5,12
Patriots,1429.9147100336095,4,13
Raiders,1425.5607069976143,4,13
Rams,1528.7708415121897,10,7
Ravens,1566.7497941723975,12,5
Saints,1435.938912743566,5,12
Seahawks,1527.4912841705022,10,7
Steelers,1520.0051227237973,10,7
Texans,1520.8914073206345,10,7
Titans,1408.5687899563068,3,14
Vikings,1588.3596791885966,14,3
