Team,Elo Rating
49ers,1478.8
Bears,1493.06
Bengals,1467.02
Bills,1540.47
Broncos,1520.71
Browns,1483.03
Buccaneers,1493.62
Cardinals,1516.42
Chargers,1512.5
Chiefs,1572.13
Colts,1484.32
Commanders,1549.93
Cowboys,1477.77
Dolphins,1458.36
Eagles,1509.26
Falcons,1502.07
Giants,1471.03
Jaguars,1461.26
Jets,1486.17
Lions,1524.1
Packers,1537.62
Panthers,1449.06
Patriots,1460.89
Raiders,1481.28
Rams,1485.48
Ravens,1503.38
Saints,1502.03
Seahawks,1528.19
Steelers,1534.31
Texans,1549.06
Titans,1456.11
Vikings,1510.95
